month,changes_avgincomingbid_sun,changes_avgincomingbid_sbn,changes_dpkbankumum,dv_bankindonesia,vix_index,bfcius_bberg
01/02/2012,-6.5775,-20.444,-6.62721,0,18.39,-0.785571429
01/03/2012,-19.97175,-10.4145,62.03204,0,16.16727273,-0.655590909
01/04/2012,4.8105,3.353,15.38649,0,17.76952381,-0.710952381
01/05/2012,-3.14775,-3.075625,67.59608,0,21.03478261,-0.828
01/06/2012,-0.27355,-0.485775,46.8756,0,21.13095238,-0.996190476
01/07/2012,8.34675,7.55711667,5.58345,0,17.52409091,-0.6265
01/08/2012,-7.82155,-5.23636667,22.63395,0,15.68956522,-0.378347826
01/09/2012,-1.2705,-0.830333333,65.90562,0,15.394,-0.1926
01/10/2012,5.40055,-0.727686667,20.64747,0,16.40956522,-0.022869565
01/11/2012,10.54305,20.34242,59.91447,0,16.63863636,0.025590909
01/12/2012,-19.787,-19.787,94.67974,0,17.33238095,0.030190476
01/01/2013,7.55765,7.55765,-20.19174,0,13.65608696,0.315826087
01/02/2013,7.3996,-3.056525,2.33565,0,13.992,0.3383
01/03/2013,-12.33915,-6.467825,35.7947,0,13.01571429,0.400619048
01/04/2013,7.1269,1.814,56.21406,0,13.96727273,0.370954545
01/05/2013,-2.035,0.645825,50.30952,0,13.51521739,0.455130435
01/06/2013,-7.84425,-2.810625,24.61187,0,17.2715,0.0092
01/07/2013,10.30801667,6.19556,18.65484,0,14.07130435,0.184521739
01/08/2013,3.68853333,4.04909,47.28051,0,14.21,0.264545455
01/09/2013,6.1977,1.47635,85.98081,0,14.80238095,0.233142857
01/10/2013,-1.05315,-2.732575,-5.29756,0,15.40782609,0.465173913
01/11/2013,-10.9152,-7.7817408,42.47194,0,12.92666667,0.728
01/12/2013,-7.17715,2.0253158,100.60521,0,14.11454545,0.5805
01/01/2014,19.77325,11.765,-69.27076,0,14.14,0.642130435
01/02/2014,-3.97395,-6.1383,8.92271,0,15.375,0.5627
01/03/2014,7.88415,0.3957136,14.44115,0,14.83666667,0.666571429
01/04/2014,-14.34138333,-3.1343736,76.7041,0,14.16,0.796318182
01/05/2014,-4.76466667,-4.16009,68.70943,0,12.42454545,0.869636364
01/06/2014,3.0751,1.7988,71.02837,0,11.54142857,0.945
01/07/2014,3.28425,0.797375,-47.4503,0,12.21043478,0.897565217
01/08/2014,-1.19325,0.305125,68.83327,0,13.49190476,0.756809524
01/09/2014,5.2529,4.87319,139.91749,0,13.39909091,0.771590909
01/10/2014,7.7865,-3.28247333,15.56524,0,18.05869565,0.356
01/11/2014,-10.1934,9.36953333,43.31158,0,13.346,0.6372
01/12/2014,-22.657,-22.657,59.74003,0,16.20869565,0.367347826
01/01/2015,38.83025,27.61925,-8.06197,0,19.20636364,0.068909091
01/02/2015,-0.6681,-3.217675,45.08986,0,15.8435,0.2609
01/03/2015,-19.72598333,-11.159875,47.12922,0,14.81272727,0.281409091
01/04/2015,-9.47641667,-6.230325,19.04805,0,13.54818182,0.324136364
01/05/2015,3.48815,1.38395,14.52448,0,13.28095238,0.296142857
01/06/2015,20.196,7.297835,87.59961,0,14.33954545,0.197636364
01/07/2015,-6.2234,0.88059,9.07329,0,14.45869565,0.171913043
01/08/2015,-1.947,0.1965,37.74857,0,19.42809524,-0.186571429
01/09/2015,-13.4471,-8.25111,97.512,0,24.53272727,-0.605181818
01/10/2015,0.89975,-0.708415,-93.67908,0,16.78954545,-0.209636364
01/11/2015,3.84155,1.8958,-3.38479,0,16.16142857,-0.010904762
01/12/2015,3.1253,9.186475,46.03731,0,17.92608696,-0.287173913
01/01/2016,6.7116,-0.6942,-28.03257,0,23.61285714,-0.777047619
01/02/2016,4.0394,2.7927,52.49103,0,22.65428571,-0.89152381
01/03/2016,-8.0841,-3.61316,31.4401,0,15.80086957,-0.393304348
01/04/2016,6.66115,3.873185,9.45392,0,14.30047619,-0.22347619
01/05/2016,-14.16205,-8.151045,30.04334,0,14.77409091,-0.124909091
01/06/2016,15.87225,5.541595,66.21853,0,17.77454545,-0.338772727
01/07/2016,16.91925,20.462925,10.71025,0,13.2352381,-0.089190476
01/08/2016,-11.86363333,-11.54978,24.74914,0,12.39956522,-0.194956522
01/09/2016,-16.85686667,-12.65342,-5.55135,0,14.11772727,-0.328636364
01/10/2016,-4.08645,-5.51435,48.07949,0,14.5852381,-0.268238095
01/11/2016,8.47095,4.3573,81.31868,0,15.10863636,-0.172090909
01/12/2016,6.7727,15.54245,102.78144,0,12.42545455,-0.096727273
01/01/2017,17.39226667,8.26904,-11.42287,0,11.70181818,0.012727273
01/02/2017,-13.14251667,-13.349865,21.08447,0,11.5285,0.06655
01/03/2017,-3.34015,-1.490225,70.24496,0,11.89782609,0.346913043
01/04/2017,14.319,6.75655,3.788,0,13.2775,0.29965
01/05/2017,-10.48295,-9.2582,92.0025,0,10.81652174,0.656173913
01/06/2017,-6.10355,1.2877,33.5005,0,10.51363636,0.780181818
01/07/2017,6.905,1.716925,-13.271,0,10.31,0.823285714
01/08/2017,17.63335,9.541555,19.868,0,11.97565217,0.664
01/09/2017,2.0036,7.97212,90.33825,0,10.42333333,0.756238095
01/10/2017,-17.61428333,-12.37988,19.41464,0,10.12545455,0.927090909
01/11/2017,2.06653333,-5.88002,37.18011,0,10.51045455,1.064363636
01/12/2017,-38.9235,-22.4729,89.891,0,10.24714286,0.92952381
01/01/2018,68.63536667,53.23506,-60.59,0,11.02217391,0.933869565
01/02/2018,-25.16696667,-23.12871,26.514,0,22.3145,0.31845
01/03/2018,-2.44475,-4.17465,37.797,0,19.06681818,0.075181818
01/04/2018,-13.6532,-6.90065,24.114,0,18.26761905,-0.064333333
01/05/2018,-8.03975,-6.94027,19.365,0,14.08521739,0.368130435
01/06/2018,9.9754,6.13592,62.24,0,13.67809524,0.443809524
01/07/2018,5.71893333,7.2736,-19.499,0,13.28363636,0.572045455
01/08/2018,11.80561667,4.340275,20.675,0,12.54695652,0.81973913
01/09/2018,-2.6206,-3.0613,82.5,0,12.908,0.9629
01/10/2018,0.24255,-1.881275,72.033,0,19.35217391,0.575173913
01/11/2018,6.1029,12.48066667,18.863,0,19.45318182,0.220045455
01/12/2018,-50.5555,-37.37866667,57.059,0,25.28190476,-0.408761905
01/01/2019,53.18626667,34.47438333,-67.286,0,19.74956522,-0.076478261
01/02/2019,26.95768333,16.33096667,37.25,0,15.2185,0.59075
01/03/2019,-21.23765,-8.134525,72.474,0,14.4852381,0.723571429
01/04/2019,-22.101,-17.909405,-2.882,0,12.91,0.901818182
01/05/2019,-7.22725,-5.1414,1.331,0,16.68391304,0.67673913
01/06/2019,25.21885,27.87418,128.15906,0,15.836,0.51535
01/07/2019,-1.96136667,-5.20968,12.58157,0,13.27391304,0.776869565
01/08/2019,-25.02823333,-18.518495,-0.49329,0,18.97909091,0.198409091
01/09/2019,11.58795,8.642975,80.33525,0,15.72190476,0.297714286
01/10/2019,21.5408,10.75286,12.20004,0,15.46652174,0.154
01/11/2019,-5.94725,-4.708785,730.88007,0,12.48666667,0.417714286
01/12/2019,-54.9888,-38.453075,30.3925,0,13.70727273,0.453909091
01/01/2020,88.26095,70.644925,-723.6682,0,13.85391304,0.717478261
01/02/2020,23.7496,17.890225,93.93699,0,19.3315,0.55275
01/03/2020,-57.59845,-45.61959,178.64737,0,57.73681818,-4.023181818
01/04/2020,-11.3891,-10.610435,-86.21667,1,41.46363636,-3.329454545
01/05/2020,30.7225,5.35700833,47.26666,1,30.76666667,-1.060619048
01/06/2020,13.63016667,28.26194667,85.10583,1,31.11954545,-0.518318182
01/07/2020,-20.40401667,-11.985855,47.66539,1,26.87695652,-0.149086957
01/08/2020,25.2072,14.436275,179.71802,1,22.88952381,0.203904762
01/09/2020,-42.98735,-31.64786,163.03066,1,27.78863636,-0.027863636
01/10/2020,17.0582,8.087235,-30.99525,1,29.43863636,-0.023545455
01/11/2020,19.22735,9.817025,15.1167,1,24.81714286,0.356428571
01/12/2020,8.83175,6.404,30.3925,1,22.3373913,0.601521739
01/01/2021,-9.82655,-3.6211,-95.70669,1,24.78,0.636285714
01/02/2021,-12.16225,-6.7981,76.22728,1,22.982,0.76025
01/03/2021,-15.4667,-6.484,158.65326,1,21.84304348,0.769478261
01/04/2021,-4.4532,-8.113925,-6.07305,1,17.41227273,1.109590909
01/05/2021,25.7631,13.016675,38.4729,1,19.61761905,1.104809524
01/06/2021,-3.95825,8.64857,129.38507,1,16.95681818,1.297772727
01/07/2021,15.2716,14.005705,-0.52097,1,17.48818182,1.233772727
01/08/2021,10.84425,9.329295,93.71483,1,17.47272727,1.214318182
01/09/2021,-30.5735,-20.647845,102.74551,1,19.66954545,1.149818182
01/10/2021,-9.90585,-5.578075,82.69466,1,17.87142857,1.184761905
01/11/2021,-59.84145,-6.095,78.3733,1,18.2580951,1.088863636
01/12/2021,0,-48.6971,156.1067,1,21.120909,0.81226087
01/01/2022,81.211,64.016025,-116.883,1,23.18999995,0.797714286
01/02/2022,-6.7896,-11.082225,21.81407,1,25.57473679,0.3752
01/03/2022,-22.326,-29.3124,97.28093,1,26.9247827,-0.414
